,market,code,liutongguben,province,industry,updated_date,ipo_date,zongguben,guojiagu,faqirenfarengu,farengu,bgu,hgu,zhigonggu,zongzichan,liudongzichan,gudingzichan,wuxingzichan,gudongrenshu,liudongfuzhai,changqifuzhai,zibengongjijin,jingzichan,zhuyingshouru,zhuyinglirun,yingshouzhangkuan,yingyelirun,touzishouyu,jingyingxianjinliu,zongxianjinliu,cunhuo,lirunzonghe,shuihoulirun,jinglirun,weifenpeilirun,meigujingzichan,baoliu2
15331,1,601028,783025781.25,26,13,20210430,20111107,783025781.25,1721010000.0,210679492.1875,13409360000.0,0.0,0.0,0.0,35803872500.0,35724945000.0,29073999.0234375,3383000.1831054688,17420.0,11690132500.0,1176317031.25,9041518750.0,22937422500.0,24815365000.0,23209320000.0,2475713125.0,1047662968.75,-14858000.48828125,33225000.0,-56187001.953125,3218589062.5,1047662968.75,1027321015.625,1048058984.375,4738476250.0,0.0,3.0
15332,1,601038,593910000.0,13,26,20210429,20120808,1123645312.5,1273250000.0,1984945625.0,20769140000.0,0.0,391940000.0,3600.0001430511475,128559500000.0,80680470000.0,25556465000.0,7617075000.0,56228.0,63127970000.0,6390221250.0,26563365000.0,54203680000.0,32221887500.0,26190642500.0,12164025000.0,3862017187.5,46687998.046875,1940003906.25,760542031.25,11784270000.0,3866785000.0,3900094062.5,3882615937.5,11833257500.0,0.0,3.0
15333,1,601058,2558894375.0,15,7,20210602,20110630,3064174687.5,1248010000.0,2719781250.0,32364910000.0,0.0,0.0,1500.0000596046448,231344400000.0,118045590000.0,76068440000.0,5609546250.0,46160.0,105143420000.0,3556210000.0,25475722500.0,101357470000.0,41491012500.0,32454950000.0,19906222500.0,4325503125.0,868000.0305175781,2564178906.25,13713220000.0,30360320000.0,4331875000.0,4030914062.5,4000871250.0,44003790000.0,0.0,3.0
15334,1,601066,3811361875.0,7,1,20210625,20180620,7756695000.0,1821210000.0,19508027500.0,0.0,0.0,1261023828.125,2099.9999344348907,3903377280000.0,0.0,5525369375.0,3543271250.0,198822.0,0.0,2997075000.0,124906680000.0,692767600000.0,48035975000.0,0.0,0.0,20485911250.0,20241031250.0,249746040000.0,191042240000.0,0.0,20478051250.0,16852906250.0,17218468750.0,236837560000.0,7.646999835968018,3.0
15335,1,601068,295906699.21875,7,21,20210427,20180831,2959066562.5,2020150000.0,-713373906.25,40636345000.0,0.0,399476015.625,199.99999552965164,535309360000.0,361926320000.0,23011092500.0,11177088750.0,34789.0,269229400000.0,75349110000.0,8754999375.0,87815630000.0,51322890000.0,46103690000.0,150034200000.0,1251192968.75,9597000.122070312,-7452634375.0,-15776310000.0,32382545000.0,1189937031.25,761368046.875,473589023.4375,19253992500.0,2.122999906539917,3.0
15336,1,601069,636000000.0,2,36,20210421,20150122,636000000.0,1107300000.0,-543122617.1875,6801725625.0,0.0,0.0,0.0,27545375000.0,9300938125.0,10938421250.0,1741367968.75,55008.0,8466371250.0,0.0,5081380000.0,17520072500.0,12164045000.0,11942856250.0,33151000.9765625,-225537011.71875,137078007.8125,-2113550000.0,-1526013906.25,4570323750.0,-224604003.90625,-229799003.90625,-229799003.90625,5282071250.0,0.0,3.0
15337,1,601077,5874465000.0,25,1,20210610,20191029,11357000000.0,1801990000.0,30795650000.0,0.0,0.0,2513336093.75,2899.9999165534973,11904340480000.0,0.0,48491940000.0,5429440000.0,271460.0,0.0,14560720000.0,203383880000.0,965377760000.0,74870100000.0,0.0,0.0,40488170000.0,2778780000.0,166682210000.0,52829050000.0,0.0,40489770000.0,33009450000.0,32483490000.0,393390440000.0,8.5,3.0
15338,1,601086,666000000.0,4,12,20210701,20170929,666000000.0,1711300000.0,126313798.828125,2038569687.5,0.0,0.0,599.9999865889549,29896912500.0,9874545000.0,8769875000.0,82567001.953125,26780.0,7071605000.0,0.0,3545307812.5,18899147500.0,3115036875.0,1752790000.0,14914000.244140625,556553984.375,4593999.938964844,944537031.25,1711675937.5,935167031.25,554024023.4375,424233984.375,424233984.375,5233289062.5,0.0,3.0
15339,1,601088,16491037500.0,7,20,20210425,20071009,19868520000.0,1101010000.0,98070000000.0,510770000000.0,0.0,3377481875.0,5799.999833106995,5842720000000.0,1947020000000.0,2162630080000.0,408910000000.0,195266.0,753580000000.0,676550000000.0,745300000000.0,3721779840000.0,676080000000.0,455710000000.0,109800000000.0,177230000000.0,8480000000.0,196140000000.0,183850000000.0,164710000000.0,176660000000.0,140660000000.0,116110000000.0,2577200000000.0,18.729999542236328,3.0
15340,1,601098,1796000000.0,21,18,20210427,20101028,1796000000.0,2101990000.0,2020554843.75,15355655000.0,0.0,0.0,1500.0000596046448,233295620000.0,200451920000.0,12816992500.0,9621535000.0,27582.0,77385475000.0,8239193125.0,44201890000.0,142573610000.0,20959172500.0,12117182500.0,15893186250.0,2840252812.5,198568984.375,-19684380000.0,-16144312500.0,17701037500.0,2837475000.0,2790446250.0,2627993125.0,67512610000.0,0.0,3.0
