,code,name,pre_close,volunit,decimal_point,value,type,kind,market,type2,py
113,399337,深证民营,5353.36962890625,100.0,2.0,,指数板块,指数,0,0,SZMY
114,399339,深证科技,7796.4482421875,100.0,2.0,,指数板块,指数,0,0,SZKJ
115,399341,深证责任,1802.887451171875,100.0,2.0,,指数板块,指数,0,0,SZZR
116,399344,深证300R,6348.8193359375,100.0,2.0,,指数板块,指数,0,0,SZ3
117,399346,深证成长,3967.53955078125,100.0,2.0,,指数板块,指数,0,0,SZCZ
118,399348,深证价值,5661.09765625,100.0,2.0,,指数板块,指数,0,0,SZJZ
119,399350,皖江30,2539.012451171875,100.0,2.0,,指数板块,指数,0,0,WJ3
120,399351,创新示范,8810.5771484375,100.0,2.0,,指数板块,指数,0,0,CXSF
121,399352,深企综指,8193.1875,100.0,2.0,,指数板块,指数,0,0,SQZZ
122,399353,国证物流,2291.76416015625,100.0,2.0,,指数板块,指数,0,0,GZWL
123,399354,分析师指,7860.23486328125,100.0,2.0,,指数板块,指数,0,0,FXSZ
124,399355,长三角,3190.750244140625,100.0,2.0,,指数板块,指数,0,0,ZSJ
125,399356,珠三角,9289.5703125,100.0,2.0,,指数板块,指数,0,0,ZSJ
126,399357,环渤海,2664.7265625,100.0,2.0,,指数板块,指数,0,0,HBH
127,399358,国证环保,5787.68359375,100.0,2.0,,指数板块,指数,0,0,GZHB
128,399359,国证基建,2642.82861328125,100.0,2.0,,指数板块,指数,0,0,GZJJ
129,399360,新硬件,4323.654296875,100.0,2.0,,指数板块,指数,0,0,XYJ
130,399361,在线消费,3259.6748046875,100.0,2.0,,指数板块,指数,0,0,ZXXF
131,399362,民企100,7564.51416015625,100.0,2.0,,指数板块,指数,0,0,MQ1
132,399363,云科技,4015.71728515625,100.0,2.0,,指数板块,指数,0,0,YKJ
133,399364,消费100,9357.3623046875,100.0,2.0,,指数板块,指数,0,0,XF1
134,399365,国证粮食,16785.537109375,100.0,2.0,,指数板块,指数,0,0,GZLS
