code,tradeStatus,code_name,code2,market2,market,type,kind,type2
605169,1,洪通燃气,sh.605169,sh,1,证券,A股股票,1
605177,1,东亚药业,sh.605177,sh,1,证券,A股股票,1
605178,1,时空科技,sh.605178,sh,1,证券,A股股票,1
605179,1,一鸣食品,sh.605179,sh,1,证券,A股股票,1
605180,1,华生科技,sh.605180,sh,1,证券,A股股票,1
605183,1,确成股份,sh.605183,sh,1,证券,A股股票,1
605186,1,健麾信息,sh.605186,sh,1,证券,A股股票,1
605188,1,国光连锁,sh.605188,sh,1,证券,A股股票,1
605189,1,富春染织,sh.605189,sh,1,证券,A股股票,1
605196,1,华通线缆,sh.605196,sh,1,证券,A股股票,1
605198,1,德利股份,sh.605198,sh,1,证券,A股股票,1
605199,1,葫芦娃,sh.605199,sh,1,证券,A股股票,1
605208,1,永茂泰,sh.605208,sh,1,证券,A股股票,1
605218,1,伟时电子,sh.605218,sh,1,证券,A股股票,1
605222,1,起帆电缆,sh.605222,sh,1,证券,A股股票,1
